Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_polarity
2010-08-06,0.0067004473,0.97087526,0.022424245,0.015723798,0
2010-08-09,0.056354027,0.022917217,0.9207288,0.86437476,1
2010-08-10,0.038693674,0.05507535,0.906231,0.8675373,1
2010-08-11,0.027520696,0.072595246,0.899884,0.87236327,1
2010-08-17,0.06422349,0.031980667,0.90379584,0.83957237,1
2010-08-24,0.028366186,0.0707444,0.9008894,0.8725232,1
2010-08-27,0.4005373,0.060473487,0.5389893,0.138452,1
2010-08-30,0.5022755,0.0860847,0.41163978,-0.09063575,0
2010-09-03,0.024449274,0.32486632,0.6506844,0.6262351,1
2010-09-07,0.024593668,0.7263949,0.24901147,0.2244178,1
2010-09-09,0.05669434,0.014901689,0.928404,0.87170964,1
2010-09-10,0.02698446,0.068309665,0.9047058,0.87772137,1
2010-09-13,0.38429263,0.110370785,0.5053366,0.12104395,1
2010-09-14,0.02764404,0.06952789,0.90282804,0.875184,1
2010-09-15,0.2878355,0.03972666,0.67243785,0.38460234,1
2010-09-17,0.04825861,0.08447757,0.8672638,0.8190052,1
2010-09-20,0.04467668,0.49326426,0.462059,0.4173823,1
2010-09-21,0.027709965,0.070641644,0.90164846,0.8739385,1
2010-09-22,0.12350801,0.43034902,0.44614297,0.32263497,1
2010-09-24,0.13329838,0.027592584,0.83910906,0.70581067,1
2010-09-27,0.10005391,0.056423705,0.8435224,0.7434685,1
2010-09-28,0.039267253,0.3733197,0.5874131,0.54814583,1
2010-09-29,0.04404861,0.04546284,0.91048855,0.86643994,1
2010-09-30,0.1800014,0.095583595,0.724415,0.5444136,1
2010-10-01,0.012027921,0.88813347,0.099838674,0.087810755,0
2010-10-04,0.04389149,0.0201502,0.9359583,0.89206684,1
2010-10-08,0.028876478,0.06931869,0.9018048,0.8729283,1
2010-10-12,0.49016017,0.07823974,0.4316001,-0.058560073,0
2010-10-13,0.12082534,0.019149696,0.8600249,0.7391996,1
2010-10-14,0.04459934,0.5556363,0.39976436,0.355165,1
2010-10-19,0.11186102,0.17352259,0.7146164,0.6027554,1
2010-10-20,0.019559212,0.8832148,0.09722599,0.077666774,0
2010-10-22,0.03649335,0.04625933,0.9172473,0.88075393,1
2010-10-26,0.19129981,0.011948585,0.7967516,0.6054518,1
2010-10-29,0.050123382,0.041520953,0.90835565,0.85823226,1
2010-11-02,0.08053459,0.023301614,0.8961638,0.81562924,1
2010-11-04,0.029681217,0.030237833,0.9400809,0.9103997,1
2010-11-05,0.007135576,0.970288,0.022576582,0.015441006,0
2010-11-08,0.03755834,0.57461005,0.38783157,0.35027322,1
2010-11-10,0.054715995,0.03171517,0.91356885,0.85885286,1
2010-11-11,0.03175623,0.02896404,0.93927974,0.9075235,1
2010-11-12,0.02364891,0.057416182,0.91893494,0.895286,1
2010-11-15,0.050815422,0.041389555,0.907795,0.8569796,1
2010-11-18,0.085576616,0.020531004,0.8938924,0.8083158,1
2010-11-22,0.09459414,0.03159691,0.873809,0.77921486,1
2010-11-23,0.02648981,0.61820704,0.3553032,0.32881337,1
2010-11-24,0.04447009,0.18596803,0.7695619,0.7250918,1
2010-11-26,0.07485953,0.8749884,0.050152175,-0.024707355,0
2010-11-29,0.103379585,0.38080046,0.51581997,0.4124404,1
2010-11-30,0.024003418,0.03649309,0.9395035,0.91550004,1
2010-12-02,0.57280135,0.018613108,0.40858555,-0.1642158,-1
2010-12-03,0.01661661,0.16808952,0.81529385,0.79867727,1
2010-12-09,0.7180974,0.0474813,0.23442137,-0.48367602,-1
2010-12-10,0.15287678,0.40326044,0.44386277,0.290986,1
2010-12-13,0.03895267,0.18495353,0.7760938,0.73714113,1
2010-12-14,0.07749306,0.025834527,0.8966724,0.81917936,1
2010-12-16,0.067434646,0.052752446,0.8798129,0.8123782,1
2010-12-17,0.08627948,0.03533003,0.8783905,0.79211104,1
2010-12-20,0.08127266,0.016566172,0.9021611,0.82088846,1
2010-12-22,0.024716131,0.038572814,0.9367111,0.91199493,1
2010-12-23,0.043433584,0.041067548,0.91549885,0.87206525,1
2010-12-30,0.22253662,0.011095813,0.76636755,0.54383093,1
2010-12-31,0.17123684,0.09175499,0.7370082,0.56577134,1
2011-01-03,0.023106873,0.035083406,0.9418097,0.91870284,1
2011-01-04,0.06892954,0.059766296,0.8713042,0.80237466,1
2011-01-05,0.028492047,0.04377449,0.9277335,0.89924145,1
2011-01-06,0.10318036,0.07267673,0.82414293,0.7209626,1
2011-01-11,0.8517696,0.10487702,0.043353338,-0.8084163,-1
2011-01-12,0.055772204,0.027961843,0.91626596,0.8604938,1
2011-01-13,0.3511496,0.032878704,0.6159717,0.2648221,1
2011-01-14,0.189306,0.008420592,0.80227345,0.61296743,1
2011-01-18,0.10795393,0.015502029,0.87654406,0.76859015,1
2011-01-19,0.026939763,0.14799017,0.8250701,0.79813033,1
2011-01-20,0.08149816,0.17126851,0.74723333,0.6657352,1
2011-01-21,0.15653628,0.43179652,0.41166717,0.2551309,1
2011-01-24,0.10991431,0.014345095,0.8757406,0.7658263,1
2011-01-26,0.016529432,0.8832505,0.10022004,0.083690606,0
2011-01-28,0.06460998,0.15869154,0.7766984,0.7120884,1
2011-01-31,0.06650476,0.05860101,0.8748942,0.8083894,1
